# ID      zz        CTIO_U   eCTIO_U   VIMOS_U   eVIMOS_U   ACS_F435W   eACS_F435W   ACS_F606W   eACS_F606W   ACS_F775W   eACS_F775W   ACS_F814W   eACS_F814W   ACS_F850LP   eACS_F850LP   WFC3_F098M   eWFC3_F098M   WFC3_F105W   eWFC3_F105W   WFC3_F125W   eWFC3_F125W   WFC3_F160W   eWFC3_F160W   ISAAC_KS   eISAAC_KS   HAWKI_KS   eHAWKI_KS   IRAC_CH1   eIRAC_CH1   IRAC_CH2   eIRAC_CH2   IRAC_CH3   eIRAC_CH3   IRAC_CH4   eIRAC_CH4   flg1   flg2  
  2068    1.01      25.211   0.063     25.31     0.031      25.425      0.104        25.144      0.032        24.598      0.046        24.495      0.047        24.21        0.032         98.992       -99.0         24.148       0.047         24.047       0.033         23.946       0.04          23.791     0.131       98.997     -99.0       23.446     0.076       23.57      0.061       25.582     1.871       23.861     0.386       0      0.0   
  2096    1.071     25.91    0.113     26.214    0.055      26.071      0.108        25.607      0.036        24.883      0.031        24.734      0.07         24.348       0.028         98.992       -99.0         24.217       0.051         23.897       0.026         23.687       0.025         23.295     0.068       98.997     -99.0       22.569     0.033       22.686     0.033       22.897     0.157       22.988     0.174       0      0.0   
  2100    1.00672   24.739   0.038     24.732    0.019      24.678      0.038        24.498      0.014        23.929      0.016        23.801      0.024        23.593       0.017         98.992       -99.0         23.517       0.025         23.35        0.013         23.294       0.015         23.21      0.053       98.997     -99.0       22.857     0.04        23.1       0.041       23.404     0.228       23.421     0.24        0      0.01  
  2102    1.022     24.766   0.049     24.69     0.024      24.775      0.052        24.492      0.022        23.896      0.033        23.741      0.034        23.497       0.022         98.992       -99.0         23.441       0.033         23.288       0.023         23.158       0.026         23.083     0.068       98.997     -99.0       22.734     0.04        23.06      0.044       23.849     0.388       24.082     0.49        0      0.0   
  2149    1.072     24.959   0.051     24.815    0.02       24.821      0.055        24.687      0.028        24.215      0.04         24.09       0.032        23.805       0.03          98.992       -99.0         23.697       0.034         23.572       0.022         23.512       0.023         23.609     0.113       98.997     -99.0       22.979     0.052       23.349     0.05        23.84      0.385       26.334     3.839       0      0.0   
  2228    1.0401    26.144   0.162     26.029    0.052      25.594      0.119        24.911      0.038        23.762      0.033        23.544      0.021        23.024       0.019         98.992       -99.0         22.642       0.018         22.263       0.008         21.907       0.007         21.31      0.015       98.997     -99.0       20.63      0.006       20.859     0.005       21.184     0.032       21.354     0.037       0      0.03  
  2583    1.03806   24.244   0.033     24.183    0.018      24.094      0.031        23.849      0.016        23.238      0.02         23.146      0.023        22.869       0.015         98.992       -99.0         22.749       0.02          22.535       0.01          22.416       0.011         22.107     0.029       98.997     -99.0       21.498     0.018       21.803     0.018       22.047     0.091       22.371     0.125       0      0.0   
  2697    1.0348    24.166   0.024     24.151    0.014      24.067      0.042        23.609      0.02         22.917      0.02         22.808      0.033        22.479       0.008         98.992       -99.0         22.309       0.015         22.02        0.008         21.866       0.009         21.621     0.016       98.997     -99.0       21.01      0.008       21.307     0.012       21.814     0.071       21.935     0.08        0      0.0   
  2784    1.004     24.46    0.038     24.339    0.019      24.306      0.043        24.035      0.017        23.516      0.027        23.436      0.019        23.205       0.019         98.992       -99.0         23.077       0.023         22.927       0.013         22.873       0.016         22.673     0.034       98.997     -99.0       22.344     0.038       22.65      0.038       23.231     0.278       23.449     0.337       0      0.02  
  2793    1.096     24.987   0.06      25.037    0.025      25.39       0.113        24.346      0.033        23.406      0.029        23.178      0.021        22.78        0.02          98.992       -99.0         98.993       -99.0         22.079       0.015         21.71        0.013         21.199     0.011       21.13      0.006       20.314     0.004       20.493     0.004       20.797     0.025       20.801     0.025       0      0.0   
