# ID      zz                   CTIO_U             eCTIO_U            VIMOS_U            eVIMOS_U           ACS_F435W          eACS_F435W         ACS_F606W          eACS_F606W         ACS_F775W          eACS_F775W         ACS_F814W          eACS_F814W         ACS_F850LP         eACS_F850LP        WFC3_F098M   eWFC3_F098M   WFC3_F105W         eWFC3_F105W        WFC3_F125W         eWFC3_F125W        WFC3_F160W         eWFC3_F160W        ISAAC_KS           eISAAC_KS          HAWKI_KS           eHAWKI_KS          IRAC_CH1           eIRAC_CH1          IRAC_CH2           eIRAC_CH2          IRAC_CH3           eIRAC_CH3          IRAC_CH4           eIRAC_CH4          f24            ef24           f70            ef70           f100           ef100          f160           ef160          f250           ef250          flg1   flg2  
  601     1.025                5.19039010197E-7   1.72098934209E-8   5.56672798151E-7   1.02542918936E-8   5.60273394794E-7   2.42534507368E-8   6.07575146106E-7   1.28707399635E-8   1.02140975199E-6   2.91633475728E-8   1.19343837921E-6   2.96783289509E-8   1.49004711179E-6   3.15648344606E-8   -99.0        -99.0         1.61435855683E-6   4.01457378351E-8   1.76685129845E-6   2.27826225836E-8   1.74260918983E-6   3.21000475473E-8   2.09700757854E-6   1.08159259942E-7   -99.0              -99.0              2.8470821598E-6    1.07512642611E-7   2.15575796804E-6   8.14065850455E-8   9.64717151896E-7   3.49195171934E-7   9.8174794302E-7    3.55359745688E-7   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.0   
  744     1.0363               9.17064749115E-7   1.85822526615E-8   9.79039017448E-7   1.17224673646E-8   1.07349493581E-6   2.57068597405E-8   1.5674727518E-6    1.15495660543E-8   2.78227465768E-6   1.79379876239E-8   3.32966085207E-6   4.60009646562E-8   4.3732066517E-6    3.22229774233E-8   -99.0        -99.0         5.06757284177E-6   6.06762919523E-8   6.18870811419E-6   4.56000865556E-8   6.98232404077E-6   5.78786229026E-8   8.45668200099E-6   1.32411163399E-7   -99.0              -99.0              1.2659017493E-5    1.04934473897E-7   9.94489037155E-6   8.24362427556E-8   7.96526079784E-6   3.74150091808E-7   6.86752106149E-6   3.79513238928E-7   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.0   
  797     1.0170000000000001   1.69668023235E-7   1.75022427354E-8   1.7571142466E-7    6.63528431627E-9   2.33130985742E-7   2.59813103322E-8   5.31618395074E-7   1.61580750099E-8   1.41905752169E-6   3.92100083465E-8   1.77010895832E-6   4.40189262043E-8   2.69401494106E-6   4.21817507765E-8   -99.0        -99.0         3.70510056302E-6   6.14254271361E-8   5.43500565129E-6   3.50407763804E-8   7.33162089027E-6   4.05160343266E-8   1.21562605524E-5   1.23159627072E-7   -99.0              -99.0              2.12031311674E-5   9.76440275017E-8   1.67032122582E-5   7.69211351015E-8   1.25660852008E-5   3.70361349895E-7   1.16627240508E-5   3.75961803604E-7   8.8488205E-5   4.7604804E-6   -99.0          -99.0          -99.0          -99.0          0.0016992005   4.4133788E-4   -99.0          -99.0          0      0.03  
  931     1.08966              1.5718098282E-7    1.59245938696E-8   1.73940213978E-7   7.209218588E-9     1.91073298104E-7   1.90063812046E-8   2.8973435877E-7    9.8736426284E-9    5.8505945195E-7    2.53264044444E-8   6.86119875282E-7   2.52775903493E-8   1.05002587211E-6   2.61119583401E-8   -99.0        -99.0         1.25198752062E-6   3.80530629812E-8   1.54739076282E-6   2.42283925439E-8   1.76197604641E-6   3.24567982294E-8   2.28665160292E-6   1.24258953493E-7   -99.0              -99.0              3.50913438359E-6   1.03425030668E-7   2.59656979027E-6   8.13119913312E-8   1.71237942124E-6   3.51706620139E-7   1.00092145832E-6   3.59534265353E-7   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.01  
  952     1.032                3.41979442514E-7   1.70086341552E-8   3.58426408044E-7   8.91331888425E-9   3.5579513056E-7    2.13004626585E-8   4.39744078447E-7   1.25555971811E-8   7.11868867262E-7   2.81931846411E-8   7.79112191113E-7   2.79859650256E-8   1.00184376572E-6   2.86046984538E-8   -99.0        -99.0         1.01952997756E-6   3.94389160737E-8   1.18904967899E-6   2.95691911091E-8   1.32678331072E-6   3.91044028532E-8   1.47910838817E-6   1.04897806106E-7   -99.0              -99.0              2.19179534384E-6   1.04973341941E-7   1.65500762877E-6   8.38375096855E-8   1.54596621939E-6   3.57395764612E-7   1.94804955329E-6   3.6422664878E-7    -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.0   
  994     1.034                6.72976656284E-7   1.79751977936E-8   6.81710526306E-7   1.00460575719E-8   8.0835103739E-7    4.3926610347E-8    1.25545167369E-6   1.85010195764E-8   2.33130985742E-6   4.50915303287E-8   2.71393848764E-6   4.49933349956E-8   3.53834356815E-6   4.56250880619E-8   -99.0        -99.0         4.03273792976E-6   6.68572001353E-8   4.85288500162E-6   4.4696722651E-8    5.53604995043E-6   6.11866852317E-8   6.13762005165E-6   1.41323924374E-7   -99.0              -99.0              1.06561420216E-5   1.47220042606E-7   9.52357486192E-6   9.64869026399E-8   9.31536765239E-6   3.77509909782E-7   1.01297796876E-5   3.82524747145E-7   6.1402181E-5   9.1648498E-6   -99.0          -99.0          8.9209394E-4   2.7452589E-4   0.0025651256   3.8952433E-4   -99.0          -99.0          0      0.0   
  1025    1.089                2.03048600272E-7   1.58962471247E-8   2.01187039515E-7   7.41200444945E-9   1.83147080466E-7   1.65311001024E-8   3.30826278856E-7   1.06645792129E-8   6.69884609417E-7   2.71474071558E-8   7.62079010025E-7   2.45665247544E-8   1.16198360387E-6   2.78258876956E-8   -99.0        -99.0         1.4256075936E-6    3.28258279349E-8   1.74904103997E-6   2.57748212842E-8   2.17570495093E-6   3.20623730352E-8   3.04789498963E-6   7.8602020763E-8    -99.0              -99.0              4.37723637935E-6   1.00789592356E-7   3.53834356815E-6   8.14733715391E-8   2.3205984616E-6    3.41976027168E-7   2.58226019063E-6   3.47239031157E-7   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.01  
  1205    1.015                3.0732649292E-7    1.69834896307E-8   2.87078058202E-7   7.93225988811E-9   3.18859969339E-7   1.76208530916E-8   3.96278034255E-7   9.12463894358E-9   6.12632454444E-7   1.46706389137E-8   6.52228842466E-7   3.72449477651E-8   8.12830516164E-7   2.02134034402E-8   -99.0        -99.0         8.79022516831E-7   3.56228249284E-8   1.01297796876E-6   2.89226028329E-8   9.63829023624E-7   3.63964928087E-8   9.16220490122E-7   1.45989554458E-7   -99.0              -99.0              1.36144468247E-6   1.09092509631E-7   1.06561420216E-6   1.1090576543E-7    9.12851219331E-7   3.87593607239E-7   6.76082975392E-7   3.835803863E-7     -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.0   
  1256    1.09                 2.98400811593E-7   1.86889366859E-8   3.11888958409E-7   8.61781039563E-9   5.03037081085E-7   4.1234970355E-8    1.4804713249E-6    2.04534672199E-8   4.96135153586E-6   5.48348836203E-8   7.04693068967E-6   7.78855562755E-8   1.21450693772E-5   6.71161336829E-8   -99.0        -99.0         1.71237942124E-5   9.46295838938E-8   2.38781128291E-5   6.5977663979E-8    3.25087297385E-5   8.98249397858E-8   4.76869998102E-5   1.31764049871E-7   -99.0              -99.0              8.96189806862E-5   8.25421315909E-8   7.46792589931E-5   6.87821394053E-8   5.11917528E-5      3.77194774021E-7   3.98841186909E-5   3.6734630858E-7    1.2718252E-4   1.4784005E-5   -99.0          -99.0          0.0012996581   2.7160704E-4   0.0026573963   3.5758447E-4   -99.0          -99.0          0      0.03  
  1603    1.04316              6.98232404077E-7   1.67204910608E-8   7.17133482658E-7   9.90756520113E-9   7.91407205399E-7   2.69697800179E-8   8.89610704409E-7   1.55678730337E-8   1.37911346902E-6   3.55658924916E-8   1.3689891307E-6    5.67398513668E-8   1.63230007282E-6   1.95442510378E-8   -99.0        -99.0         -99.0              -99.0              1.971514611E-6     2.9053312985E-8    1.83653834335E-6   3.55218008217E-8   -99.0              -99.0              -99.0              -99.0              3.08176841661E-6   1.07859717045E-7   2.25112701591E-6   1.22328511619E-7   2.20597202175E-6   4.00259737476E-7   1.75065270838E-6   3.93428218543E-7   -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          -99.0          0      0.0   
