# ID      tau_v16   tau_v50   tau_v84   age_mw16   age_mw50   age_mw84   Mstar16   Mstar50   Mstar84   SFR16_7   SFR50_7   SFR84_7   SFR16_8   SFR50_8   SFR84_8   Av        Av_std             AGNFRAC_8_1000  
  5950    4.297     4.297     4.297     9.175      9.175      9.175      10.47     10.47     10.47     -0.333    -0.333    -0.333    -0.323    -0.323    -0.323    2.3475    0.0433331659933    0.0             
  6141    1.022     1.247     3.802     8.325      8.425      8.425      9.527     9.557     9.577     0.952     0.957     0.962     0.957     0.967     0.977     0.3675    0.0102663174995    0.001649        
  6159    0.702     1.412     2.212     8.175      8.575      9.025      9.437     9.477     9.557     0.697     1.062     1.087     0.717     1.072     1.087     0.7425    0.0156228190478    0.003759        
  6221    2.347     2.667     3.697     8.675      9.025      9.175      10.96     11.04     11.09     1.712     1.747     2.047     1.717     1.752     2.062     2.01      0.0398437460588    3.738E-4        
  6401    1.607     1.607     1.607     9.275      9.275      9.275      10.6      10.61     10.61     -0.453    -0.448    -0.448    -0.438    -0.433    -0.433    1.12      0.0208045974486    0.002715        
  6665    3.267     3.267     3.267     7.925      7.925      7.925      9.172     9.172     9.187     1.032     1.032     1.047     1.042     1.042     1.057     0.7       0.0155128462894    0.001562        
  7011    2.487     2.487     2.487     8.975      8.975      8.975      9.922     9.932     9.942     0.007     0.017     0.027     0.017     0.027     0.037     0.185     0.00445049154589   0.1055          
  7094    0.002     0.002     0.002     7.075      7.075      7.075      7.002     7.002     7.002     -2.998    -2.998    -2.998    -2.998    -2.998    -2.998    0.155     0.00467994658089   0.0             
  7183    2.542     2.657     3.382     8.775      8.875      9.025      10.92     11.03     11.06     1.772     1.932     2.017     1.792     1.937     2.017     1.645     0.0344294336288    0.001245        
  7195    2.877     3.327     3.677     9.025      9.075      9.225      10.85     10.95     11.01     1.377     1.577     1.652     1.587     1.657     1.912     1.2175    0.0260343734321    0.002005        
  7219    0.002     0.002     0.002     7.075      7.075      7.075      7.002     7.002     7.002     -2.998    -2.998    -2.998    -2.998    -2.998    -2.998    2.16      0.039923421697     0.0             
  7603    0.482     0.927     0.927     8.125      8.125      8.375      8.837     8.847     8.902     0.367     0.517     0.527     0.372     0.517     0.527     0.355     0.00985991379273   0.004707        
  7649    0.397     0.427     0.897     8.825      9.175      9.325      9.447     9.512     9.557     0.087     0.232     0.507     0.092     0.232     0.507     0.59      0.0118674807773    0.0             
  7764    0.797     1.252     2.517     8.525      8.775      9.175      9.227     9.287     9.417     -0.088    0.307     0.512     -0.193    0.322     0.522     0.5075    0.0124002983835    0.02892         
  7772    1.297     1.502     2.477     8.775      8.875      8.975      9.547     9.572     9.627     0.347     0.527     0.597     0.357     0.537     0.607     0.76      0.0172217565887    0.01625         
  7837    1.152     1.217     1.392     8.625      8.775      8.775      10.36     10.43     10.46     1.322     1.462     1.542     1.337     1.467     1.547     0.76      0.0172217275556    0.01046         
  7886    1.622     2.562     5.012     9.225      9.275      9.425      10.69     10.73     10.82     0.632     0.752     0.957     0.632     0.757     0.972     0.96      0.0211858744214    0.009578        
  7988    1.377     1.377     2.552     8.825      8.875      8.925      9.782     9.797     9.882     0.572     0.587     0.797     0.577     0.592     0.807     0.9675    0.0221827472374    0.006625        
  8038    0.627     2.427     3.012     8.975      9.075      9.375      9.557     9.672     9.702     -0.228    0.197     0.472     -0.218    0.207     0.472     0.175     0.00504552029032   0.2095          
  8041    4.222     4.222     4.222     9.325      9.325      9.325      10.47     10.47     10.48     -0.468    -0.463    -0.458    -0.453    -0.448    -0.443    0.555     0.0105540560923    0.0             
  8067    1.287     1.287     4.007     9.025      9.275      9.275      10.42     10.43     10.48     -0.463    -0.458    -0.043    -0.453    -0.448    -0.033    1.03375   0.0194123028       0.003376        
  8113    0.782     0.782     1.127     8.825      8.875      8.875      9.227     9.247     9.247     0.192     0.192     0.212     0.192     0.192     0.217     0.3075    0.00756561134344   0.0             
  8154    2.437     3.032     3.427     8.875      8.925      9.075      10.51     10.55     10.62     1.302     1.402     1.507     1.312     1.407     1.512     2.425     0.0473554379137    0.00121         
  8167    3.992     3.992     3.992     8.825      8.825      8.825      10.69     10.7      10.7      0.482     0.487     0.487     0.487     0.492     0.492     3.085     0.0569138383875    0.001703        
  8402    1.957     1.957     3.597     8.825      8.875      8.875      9.827     9.847     9.887     0.747     0.832     0.857     0.762     0.832     0.857     0.8525    0.0206942135632    0.004876        
  8461    1.127     2.072     3.607     8.425      8.525      8.725      9.037     9.077     9.117     0.207     0.372     0.467     0.212     0.372     0.477     0.74      0.0145776155458    0.007766        
  8540    0.002     0.002     0.002     7.075      7.075      7.075      7.002     7.002     7.002     -2.998    -2.998    -2.998    -2.998    -2.998    -2.998    0.275     0.00918323880774   0.0             
  8586    0.367     0.367     0.367     8.425      8.425      8.425      8.942     8.952     8.957     -0.558    -0.548    -0.543    0.637     0.647     0.652     0.065     0.00180468141233   0.0             
  8976    0.222     0.222     4.282     8.225      8.725      8.725      8.877     9.107     9.117     0.227     0.232     0.462     0.227     0.237     0.467     0.3675    0.00695084707068   8.881E-4        
  9026    3.472     3.547     3.547     8.875      8.875      9.325      10.39     10.53     10.54     0.072     0.842     0.852     0.077     0.842     0.852     1.7875    0.0333558300751    0.001102        
  9372    0.607     2.322     2.322     8.475      8.475      8.475      8.752     8.782     8.792     0.097     0.132     0.142     0.097     0.142     0.152     0.255     0.00666122173479   0.0465          
  9380    3.822     3.822     3.822     8.425      8.425      8.425      9.807     9.817     9.827     0.472     0.477     0.487     1.132     1.142     1.152     2.06      0.038613234454     0.004022        
  9606    0.512     0.512     2.827     8.225      8.775      8.775      8.842     8.957     8.972     0.037     0.052     0.397     0.042     0.057     0.407     0.88125   0.0182060944466    0.003968        
  9769    2.877     2.877     3.902     8.575      8.875      9.225      10.83     10.84     10.95     1.507     1.787     2.047     1.777     1.792     2.172     3.105     0.0595258355674    5.344E-4        
  9871    1.917     2.177     4.172     8.625      8.775      8.925      9.447     9.477     9.552     0.477     0.547     0.662     0.482     0.552     0.662     0.2975    0.0100492487281    0.01365         
  9884    0.307     0.327     0.327     8.125      9.175      9.175      9.352     9.587     9.597     1.042     1.192     1.202     0.867     0.882     1.052     0.1475    0.006132079582     0.01145         
