# ID      sSFR_mean    sSFR_median   sSFR_16  sSFR_84               sSFR_3   sSFR_97                SFR_10_mean    SFR_10_median   SFR_10_16   SFR_10_84                SFR_10_3   SFR_10_97                SFR_100_mean   SFR_100_median   SFR_100_16    SFR_100_84              SFR_100_3      SFR_100_97           max_stellar_age_mean   max_stellar_age_median   max_stellar_age_16  max_stellar_age_84        max_stellar_age_3  max_stellar_age_97       
  23720   -10.38392    -10.224977     -11.553419  -9.29808       -12.702235  -8.803128     0.32541028     0.0849336        0.0039050381  0.69759446     2.8396887E-4  1.8519919     4.7306085      4.7340236         3.2705815  6.0940504           1.9184002  7.6892643         5.9464602E8            4.72762112E8              3.14152992E8  8.2571814E8      2.01005376E8  1.72731622E9   
  23751   -11.84044    -11.872904     -13.425472  -10.194298     -14.789283  -9.08017      29.966808      0.49669752       0.0138811935  23.55364       5.7880726E-4  263.693       33.746037      7.469977          0.04975422  82.6508            6.1655464E-4  175.55487      7.7771795E8            7.9274464E8               4.6058176E8  1.07426662E9      3.0757056E8  1.22211738E9    
  2428    -13.645827   -13.613829     -14.270843  -13.079704     -14.632208  -12.677977    0.0023519755   0.0012299671     2.719429E-4  0.004253564     1.1927098E-4  0.01070775    2.3519763E-4   1.2299672E-4      2.7194403E-5  4.2535638E-4     1.1927098E-5  0.001070775    8.0056883E9            8.041641E9                7.8911601E9  8.0998083E9       7.691607E9  8.1262382E9      
  24572   -9.487782    -9.501173      -11.013136  -7.7360044     -12.401349  -7.1545157    4.2328925      0.58158517       0.016480513  13.272367       8.3870353E-4  17.359219     15.070114      15.975377         3.8500226  22.80153            1.6447335  28.484459         1.50952976E8           7.3750304E7               3.1903922E7  2.1559928E8       1.6517052E7  9.0424794E8     
  25835   -10.163047   -10.208045     -10.45107  -9.842712       -10.650989  -9.493304     1.1397425      0.79641986       0.4493965  1.8289905         0.28410465  4.068788        2.7567332      2.7539327         1.9905268  3.4007566           1.6133469  4.2288218         6.4720338E9            6.6522834E9               5.394366E9  7.5054577E9        4.19147366E9  7.9550669E9    
  26600   -10.747775   -10.594227     -11.943514  -9.641954      -13.124153  -9.012219     0.38928348     0.08474565       0.003936796  0.73589766      2.5632582E-4  2.5456567     10.33735       9.857256          5.821258  15.033639            3.0599608  20.718561         6.4482067E8            5.5359085E8               3.301176E8  9.720857E8         1.77624384E8  1.57674202E9   
  3019    -11.663368   -11.468905     -12.929179  -10.546869     -14.249511  -9.759038     1.4592494      0.22418164       0.008068362  1.9767854       4.0024146E-4  11.272189     0.7953874      0.68334925        0.27783075  1.2612026          0.0129186595  2.2858145      2.1407872E9            2.1404393E9               1.81866675E9  2.56570957E9     1.0644192E9  2.86509466E9    
  449     -9.09907     -8.64723       -10.671648  -7.7432985     -12.535309  -7.384455     14.981369      8.966091         0.113651  32.13142           0.001461755  57.23598       18.30647       17.212452         9.977286  26.890575            5.3518014  37.762928         3.66302208E8           2.64573392E8              8.0820624E7  7.2588947E8       3.1048558E7  1.09794624E9    
  5012    -8.128379    -8.136325      -8.342073  -7.898776       -8.523267  -7.7515364     22.125435      20.946537        14.94622  30.432144          10.927467  36.424286        26.899786      27.052116         22.811697  30.74776            19.407774  33.651016         1.2012988E8            1.13424776E8              8.1037096E7  1.58599328E8      6.1042412E7  2.17989328E8    
  5088    -7.1316195   -7.1319056     -7.14066  -7.1223474       -7.150274  -7.113234      127.37407      127.59039        120.517204  134.516          111.98033  141.32785        17.25376       17.281296         16.16851  18.34521             14.995897  19.430841         1.1593832E7            1.1244336E7               1.0741179E7  1.2446693E7       1.0547389E7  1.4629169E7     
  6131    -8.533909    -8.340932      -8.622376  -8.172204       -11.695741  -8.023062     3750.6177      3916.097         2193.5703  5284.3853         1.9413489  6444.858         375.90115      392.4763          219.8521  529.70715            0.3479618  644.6242          7.6214189E8            7.626464E8                7.0531027E8  8.2979398E8       6.318807E8  8.7459354E8      
  6401    -11.447604   -11.292947     -12.899333  -9.993558      -14.261289  -9.475521     3.575049       0.4198566        0.010220364  8.036515        4.4352136E-4  23.833796     2.4309664      2.266588          1.5767187  3.2843454           1.022202  4.617238           2.63808717E9           2.58299034E9              2.26403763E9  3.02693325E9     2.01750029E9  3.53505229E9   
  7885    -10.589757   -10.419136     -11.426209  -9.673576      -13.095491  -9.434638     1.500747       0.67873865       0.060184482  3.4634404       0.0013291498  5.4872355     0.28183147     0.27089107        0.15649657  0.40279424         0.03919568  0.61689544       2.4859776E9            2.34055757E9              2.04657037E9  2.8950249E9      1.81203507E9  4.07453619E9   
