# ID dust:Av_16 dust:Av_median dust:Av_84 dblplaw:tau_16 dblplaw:tau_median dblplaw:tau_84 dblplaw:beta_16 dblplaw:beta_median dblplaw:beta_84 dblplaw:metallicity_16 dblplaw:metallicity_median dblplaw:metallicity_84 dblplaw:massformed_16 dblplaw:massformed_median dblplaw:massformed_84 dblplaw:alpha_16 dblplaw:alpha_median dblplaw:alpha_84 redshift_16 redshift_median redshift_84 UVcolour_16 UVcolour_median UVcolour_84 VJcolour_16 VJcolour_median VJcolour_84 tmw_16 tmw_median tmw_84 sfr_16 sfr_median sfr_84 mstar_liv_16 mstar_liv_median mstar_liv_84 z_input global_log_evidence global_log_evidence_err min_chisq_reduced
1.057800000000000000e+04 8.461877919498396183e-01 1.059961993315801543e+00 1.232149231441040937e+00 1.697130956453881234e+00 1.916356745546649920e+00 2.008707054837874484e+00 1.378934219937621775e+00 1.025092789989451170e+01 1.996093609234596329e+02 9.730252101238391349e-01 1.456368161417999296e+00 1.832171721593521152e+00 1.135999943734287143e+01 1.141062238546065544e+01 1.148285305988575011e+01 1.934134493933075660e+01 5.316031430446424366e+01 4.001945240529087187e+02 3.029585166753169467e+00 3.068868663147995335e+00 3.114045325026100208e+00 1.305105059952079927e+00 1.334800477695839760e+00 1.370069764965931913e+00 8.992482769343275173e-01 9.600319845338454172e-01 1.023641086861177829e+00 1.398577113648245218e+00 1.708169429746394963e+00 1.817862125820851826e+00 1.520015206499656128e-03 2.854931492258039682e+01 7.379324588949677377e+01 1.550727563215284729e+11 1.710625650607902222e+11 1.928986610976817627e+11 0.000000000000000000e+00 5.012280258655115972e+02 2.211422835552493693e-01 4.474812607375412421e-01
1.566900000000000000e+04 2.732085232614529513e+00 2.803483749709940298e+00 2.888589210302944466e+00 2.486053317142777441e+00 2.631793572059330177e+00 3.221413633183289882e+00 1.043447717079863111e+02 3.075922576912973341e+02 6.410523320481008795e+02 1.538322930136859279e+00 1.817742201666291413e+00 1.951511856137105649e+00 9.939047891600223394e+00 1.030803635548185682e+01 1.045315353294061289e+01 4.204545102744215029e-02 7.348274959096366965e-01 2.477642213769320989e+01 1.995038243503585162e+00 2.396962032023289613e+00 2.530700363893739535e+00 1.511979723875283455e+00 1.548710256119505857e+00 1.586507314965751814e+00 2.412052418968409384e+00 2.544442394031577237e+00 2.745941071904571373e+00 2.498046093589091576e+00 2.659012348142663296e+00 3.218491707741645502e+00 3.000815832384785153e+02 3.804956255662030458e+02 5.081328681066205490e+02 7.616683596322906494e+09 1.633807237837138748e+10 2.272783840810857391e+10 0.000000000000000000e+00 2.485935460091614146e+01 2.193160109024823723e-01 5.436872522285392861e+00
1.888300000000000000e+04 2.120058096254057389e+00 2.476619269421230118e+00 2.779347569045397925e+00 8.808763093076779072e-01 1.934051338182971147e+00 2.551780554400015166e+00 4.755937711104405441e-01 1.896327959382226425e+01 2.580983727633114881e+02 7.594044713611072250e-01 1.465863228333965651e+00 1.854724822952018126e+00 1.057715946693648057e+01 1.080173482560564580e+01 1.096934652268707744e+01 2.267804845176170023e-02 1.293090400479400826e-01 1.113938571419029966e+00 2.151100006450501478e+00 2.301896462295613954e+00 2.477643458422925882e+00 1.759212003852441253e+00 1.916973519647985569e+00 2.055379549662863070e+00 1.935253778741885089e+00 2.074151455482326156e+00 2.194310678832134709e+00 1.371009772599932841e+00 2.148910568450265846e+00 2.611021059078810769e+00 3.104805592401031333e+01 4.882936769971553304e+01 9.475335179833749066e+01 2.637673484045733643e+10 4.021917126642728424e+10 5.545346825979558563e+10 0.000000000000000000e+00 -8.825184406401073147e+02 1.694054675800924226e-01 1.621937261635993388e-01
1.920300000000000000e+04 2.237216254293000195e-01 2.791087683375462758e-01 3.364873189264007691e-01 5.556304659275169477e+00 5.687904451029467623e+00 5.819374564694923535e+00 9.126653814985269264e+01 2.837703694675454358e+02 6.709232763768279710e+02 2.081873052128768373e-02 2.548235056234879684e-02 3.586443694481648847e-02 9.393927202958277434e+00 9.416321679734570793e+00 9.438736929672819187e+00 1.216546269957115385e+02 3.133418999552956734e+02 7.075742400858313204e+02 7.684685655484976285e-01 7.886499552815035008e-01 8.108401081032853286e-01 1.157103383841894706e+00 1.179457461829318987e+00 1.203664539666650768e+00 1.748642789661438712e-01 2.082593995800383624e-01 2.431454672967761632e-01 5.576690879494503150e+00 5.693058724606993692e+00 5.797695506440330604e+00 5.861135309112277730e-45 1.066931418910500146e-20 5.903494983712218450e-08 1.406026219989998579e+09 1.480407417802500486e+09 1.557561943630206108e+09 0.000000000000000000e+00 2.423977668527159892e+02 2.415389236986845156e-01 7.042456037265054647e+00
2.166200000000000000e+04 2.510102478498644096e+00 2.722852221650752913e+00 3.016724205628495525e+00 2.503958013036520658e+00 3.146931912047872260e+00 3.533863183903690697e+00 1.111899372462091407e+01 8.060061966062299632e+01 4.395211600155641918e+02 4.645208986440388932e-01 1.178802640262602397e+00 1.744016563853825197e+00 1.087172923214891540e+01 1.096222878802005773e+01 1.106210088703723571e+01 3.725971946930986545e-02 4.603423477268912545e-01 6.837045195483723248e+00 1.560867637010500131e+00 1.634421935810702831e+00 1.727551288099973048e+00 1.934789359022747846e+00 2.009226252478397257e+00 2.087720866362279271e+00 2.043363028144620230e+00 2.139308233004006965e+00 2.232033008827219334e+00 3.052442734446887851e+00 3.419998808584079786e+00 3.652845161420867459e+00 5.542910034660261687e+01 9.007515385455327817e+01 1.599983143525266485e+02 5.081800505577112579e+10 6.009518881732232666e+10 7.267601073603883362e+10 0.000000000000000000e+00 2.630974328815973990e+02 1.874697099936482036e-01 2.407180089744166196e+00
2.270700000000000000e+04 2.721805145518718314e-02 1.010811161140382497e-01 1.684838825841903365e-01 3.948972935485350333e-01 7.009114979547602653e-01 9.744464479198383655e-01 1.282681600410846834e-01 2.463976049475915975e+00 6.125583907638940673e+01 4.624676891770952425e-01 9.734781905130646118e-01 1.615828503726500109e+00 9.637312925412741649e+00 9.814048485090133056e+00 9.983712180962164950e+00 2.225593415142541540e-02 1.017153822348781378e-01 5.599690344326699876e-01 4.775065300311671201e+00 4.866595295032772661e+00 4.973422819363754854e+00 2.782378808177895513e-01 3.693442580805239572e-01 4.382101631459370816e-01 8.827774684048961609e-03 1.932143013955140987e-01 3.311575054727832201e-01 5.208723691323519089e-01 7.801987798261126317e-01 9.711173876613029554e-01 6.741642283485402842e+00 8.285800636662912666e+00 9.887276072196327092e+00 3.042448910802077770e+09 4.315695054157880783e+09 6.107724100573076248e+09 0.000000000000000000e+00 -4.070374016334117186e+02 1.860203370278994683e-01 7.293000816012131793e-01
2.295900000000000000e+04 1.407086979709703201e+00 1.638028504602577318e+00 1.821217809607878380e+00 1.677762348848488738e+00 2.482753541697918731e+00 2.831155511001054670e+00 4.705031766808720484e+00 3.653813339805660121e+01 3.304953189917246164e+02 1.559521949613640768e+00 1.812169975647896836e+00 1.951062041105037448e+00 1.030846278918229153e+01 1.043845814636273595e+01 1.057350194660301135e+01 2.762412860025024661e-02 2.047279884053453125e-01 4.406012121409786708e+00 2.005966900059573899e+00 2.057480835307874401e+00 2.204618617009210357e+00 1.337398967532055227e+00 1.435626925285585997e+00 1.512699260534127621e+00 1.426346683880389321e+00 1.507689575829694206e+00 1.581047421881304649e+00 2.171714586722801599e+00 2.647116428330919202e+00 2.898405080563617009e+00 1.650374763337757145e+01 2.926828686749380992e+01 4.529196287930250975e+01 1.424239968229897499e+10 1.807812145337027740e+10 2.310853669735597992e+10 0.000000000000000000e+00 2.692595927999904006e+02 1.901665239281043196e-01 1.901021789000808981e+00
2.348200000000000000e+04 3.303504052030741267e-01 3.904447052552990072e-01 4.880302493697199484e-01 1.910740507826190981e+00 2.391083552833924042e+00 2.924745007583640533e+00 1.359341555936013179e+01 9.696623040798345983e+01 4.257163417855874741e+02 5.965656041760449835e-01 9.729773643228708524e-01 1.535882715727954428e+00 9.738340159309457178e+00 9.935828569883824457e+00 1.013308228802173616e+01 4.932785630475253896e-02 3.064221500203109905e+00 2.150507016625628864e+02 2.165974861486332781e+00 2.509921939245245870e+00 2.560100060693658364e+00 4.771203492914217748e-01 5.182121394166472328e-01 5.607786510222634302e-01 2.438572602577909199e-01 3.916028175296428770e-01 4.906762917819515457e-01 2.141040534498420467e+00 2.367169932149874256e+00 2.910366283346498939e+00 3.996367503756090400e+00 1.747051890871167501e+01 2.215140271202154310e+01 4.144846394652276039e+09 6.204086684728311539e+09 9.171989910108579636e+09 0.000000000000000000e+00 2.745374116236386044e+02 2.191745679894105958e-01 4.150859134624030888e-01
2.372000000000000000e+04 4.483415741930020793e-01 5.480679528235188336e-01 6.592252183914814045e-01 4.826408480533133982e+00 5.183158407163484860e+00 5.433654189164082382e+00 3.898971184815759017e+01 1.677837898967348167e+02 5.587415632314189224e+02 7.373190594555155686e-01 1.123662026102153266e+00 1.560309812721882627e+00 9.066645504417564894e+00 9.148670492008466937e+00 9.246744455750583569e+00 3.909261456180944394e-02 7.855942481022603063e-01 4.096801752254905438e+01 9.842506074157092444e-01 1.023047028106090384e+00 1.061402554309683888e+00 6.382933854248756811e-01 6.766881060314702268e-01 7.163920260305078891e-01 4.785163192229058282e-01 5.508198324987674255e-01 6.116502822282725571e-01 5.183348674499225872e+00 5.365366634628670361e+00 5.518213655522080430e+00 1.420037464591592968e+00 2.190656706388693031e+00 3.070988415193629528e+00 8.310558599333661795e+08 9.746797574612505436e+08 1.153944873531929970e+09 0.000000000000000000e+00 4.616413924286914749e+01 2.067979732278296956e-01 6.069976131072414294e-01
2.375100000000000000e+04 1.442761430260234068e+00 1.738123292171102729e+00 2.097760875961323990e+00 3.696622173725375160e-01 8.428574152529209051e-01 1.381822801667371037e+00 5.088947865847370106e-02 1.471623778077234546e+00 8.840238454343860042e+01 3.799317043853898679e-01 9.364362464804101283e-01 1.630128958481086965e+00 1.118819274372471817e+01 1.133108719195512393e+01 1.147653994533906818e+01 3.077434800589520444e-02 2.652596563916838623e-01 3.052650052715049078e+00 3.209800274615931759e+00 3.855421223470404612e+00 4.523408110032629104e+00 1.485698146083860305e+00 1.600398485854892527e+00 1.773185938641765880e+00 1.282275227755988567e+00 1.468984055242103182e+00 1.722575133472744602e+00 5.926355794855103776e-01 8.589789300472342459e-01 1.256121854927128023e+00 6.535589713490816166e+01 1.368172455675184267e+02 2.615427359101057050e+02 9.884095286256655884e+10 1.362573067155421448e+11 1.897740105248373413e+11 0.000000000000000000e+00 -4.192013435925327940e+02 1.562474902461675197e-01 2.071870326813896046e-01
