# ID_0    tau_v16_0   tau_v50_0   tau_v84_0   sSFR16_0   sSFR50_0   sSFR84_0   Mstar16_0   Mstar50_0   Mstar84_0   Ldust16_0   Ldust50_0   Ldust84_0   Mdust16_0   Mdust50_0   Mdust84_0   SFR16_0   SFR50_0   SFR84_0   age_M16_0   age_M50_0   age_M84_0   A_V16_0   A_V50_0   A_V84_0   Tdust16_0   Tdust50_0   Tdust84_0   tau_v16_agn   tau_v50_agn   tau_v84_agn   sSFR16_agn   sSFR50_agn   sSFR84_agn   Mstar16_agn   Mstar50_agn   Mstar84_agn   Ldust16_agn   Ldust50_agn   Ldust84_agn   Mdust16_agn   Mdust50_agn   Mdust84_agn   SFR16_agn   SFR50_agn   SFR84_agn   age_M16_agn   age_M50_agn   age_M84_agn   A_V16_agn   A_V50_agn   A_V84_agn   Tdust16_agn   Tdust50_agn   Tdust84_agn   agnf16_agn   agnf50_agn   agnf84_agn   Ldustsf16_agn   Ldustsf50_agn   Ldustsf84_agn   Ldustagn16_agn   Ldustagn50_agn   Ldustagn84_agn  
  15870   6.113       6.113       6.113       -8.075     -8.075     -8.075     9.472       9.472       9.477       11.45       11.45       11.46       6.947       7.467       7.967       1.412     1.412     1.417     7.892       7.892       7.892       1.238     1.238     1.238     35.65       45.95       58.05       0.588         0.988         2.038         -9.075       -8.725       -8.425       9.467         9.567         9.652         10.5          10.76         11.04         6.142         6.727         7.312         0.572       0.817       1.067       8.357         8.662         8.922         0.213       0.438       0.738       36.05         46.75         59.65         0.036        0.083        0.159        10.43           10.72           11.02           9.492            9.607            9.857           
  15924   3.763       3.788       3.788       -8.075     -8.075     -8.025     9.352       9.357       9.357       11.29       11.29       11.29       6.677       7.207       7.682       1.302     1.307     1.307     7.847       7.887       7.887       0.988     0.988     0.988     36.55       47.05       60.05       0.388         0.788         1.813         -9.075       -8.675       -8.325       9.372         9.477         9.607         10.4          10.69         11.03         6.017         6.617         7.217         0.537       0.792       1.092       8.192         8.597         8.987         0.163       0.388       0.688       36.45         48.05         61.45         0.042        0.091        0.192        10.31           10.65           11.01           9.552            9.657            9.737           
  15959   2.688       3.188       4.238       -8.625     -8.525     -8.425     9.502       9.517       9.542       10.9        10.95       11.09       6.492       7.002       7.512       0.937     0.972     1.092     8.362       8.457       8.557       0.763     0.838     1.013     35.85       46.15       58.25       0.488         0.838         2.138         -9.325       -9.075       -8.775       9.567         9.652         9.732         10.28         10.49         10.74         6.002         6.462         7.032         0.417       0.562       0.787       8.692         8.967         9.157         0.163       0.313       0.588       36.15         47.15         60.05         0.025        0.068        0.148        10.23           10.46           10.73           9.027            9.297            9.562           
  15967   3.913       4.113       8.588       -8.925     -8.875     -8.775     10.19       10.22       10.25       11.39       11.42       11.52       7.067       7.547       8.087       1.322     1.352     1.447     8.712       8.792       8.902       1.788     1.863     2.013     34.25       42.55       53.05       2.113         4.063         7.863         -9.775       -9.375       -9.075       10.21         10.29         10.37         10.81         11.09         11.29         6.662         7.212         7.827         0.577       0.932       1.177       8.892         9.122         9.282         0.913       1.363       1.738       32.95         40.25         49.15         0.022        0.071        0.182        10.74           11.06           11.28           9.597            9.912            10.12           
  15988   3.138       4.138       6.688       -8.625     -8.525     -8.525     9.627       9.667       9.707       11.13       11.15       11.31       6.802       7.287       7.802       1.097     1.112     1.247     8.442       8.512       8.632       1.113     1.138     1.363     34.85       44.05       55.95       0.563         1.363         3.038         -9.975       -9.325       -9.025       9.702         9.777         9.852         10.01         10.52         10.79         6.002         6.557         7.177         -0.208      0.487       0.752       8.842         9.037         9.262         0.213       0.463       0.788       33.65         42.05         53.75         0.027        0.071        0.255        9.872           10.5            10.77           9.137            9.327            9.517           
  15991   3.188       3.188       3.188       -8.775     -8.425     -8.425     9.177       9.182       9.182       10.61       10.9        10.9        6.377       6.747       6.747       0.487     0.782     0.782     8.312       8.312       8.737       1.163     1.488     1.488     42.45       49.75       49.75       0.063         1.363         1.363         -9.875       -9.875       -9.675       8.902         9.017         9.027         9.187         9.422         9.492         6.002         6.002         6.052         -0.868      -0.833      -0.788      8.507         8.877         8.877         0.013       0.238       0.238       32.75         39.65         48.25         0.045        0.21         0.557        8.487           9.397           9.407           8.012            8.692            9.067           
  16048   3.763       7.938       8.888       -8.825     -8.775     -8.775     9.952       9.992       9.997       11.26       11.3        11.31       6.927       7.412       7.962       1.162     1.207     1.207     8.627       8.722       8.777       1.363     1.413     1.413     34.25       42.75       53.15       1.213         2.113         4.863         -9.625       -9.275       -8.925       9.912         9.967         10.04         10.52         10.81         11.08         6.342         6.922         7.542         0.362       0.687       1.007       8.772         8.972         9.177         0.438       0.788       1.138       33.25         41.15         51.55         0.025        0.08         0.182        10.45           10.76           11.06           9.322            9.672            9.897           
  16049   4.363       6.088       7.713       -8.475     -8.225     -7.975     10.01       10.1        10.23       11.97       12.07       12.08       7.557       8.057       8.552       1.777     1.887     2.022     7.812       8.102       8.547       1.863     1.913     2.013     36.05       46.15       58.35       1.413         3.663         7.013         -9.275       -8.925       -8.525       10.18         10.29         10.41         11.15         11.44         11.77         6.937         7.517         8.122         1.052       1.362       1.737       8.452         8.802         9.087         0.588       1.163       1.813       34.55         43.85         55.55         0.012        0.086        0.243        11.03           11.41           11.76           9.787            10.44            10.57           
  16123   3.663       5.863       9.413       -8.675     -8.475     -8.475     9.542       9.552       9.572       10.88       11.11       11.12       6.652       7.147       7.667       0.877     1.057     1.082     8.357       8.402       8.632       1.063     1.413     1.438     34.95       44.05       55.75       0.888         1.763         4.013         -9.625       -9.125       -8.825       9.537         9.617         9.697         10.15         10.54         10.78         6.002         6.577         7.177         0.032       0.497       0.762       8.697         8.907         9.137         0.313       0.663       1.013       33.85         42.45         54.45         0.019        0.065        0.195        10.06           10.5            10.77           8.962            9.272            9.532           
  16236   1.488       1.488       1.488       -7.975     -7.975     -7.975     9.287       9.292       9.292       11.36       11.37       11.37       6.967       7.412       7.937       1.292     1.297     1.297     7.787       7.787       7.787       1.113     1.113     1.113     35.95       46.25       58.25       0.563         0.938         1.588         -9.325       -8.775       -8.375       9.352         9.447         9.562         10.14         10.65         10.93         6.057         6.667         7.297         0.182       0.677       1.017       8.317         8.622         8.937         0.113       0.413       0.738       34.85         44.45         56.95         0.015        0.039        0.129        10.08           10.64           10.92           9.012            9.222            9.372           
  16275   1.538       2.288       3.663       -8.175     -8.075     -8.025     8.972       8.997       9.062       10.83       10.95       11.01       6.462       6.947       7.477       0.837     0.912     0.967     7.867       8.022       8.247       0.763     0.913     1.013     36.65       47.75       59.55       0.113         0.313         0.938         -9.125       -8.925       -8.525       9.097         9.222         9.267         9.707         10.09         10.46         6.002         6.002         6.637         0.152       0.307       0.562       8.452         8.807         8.937         0.038       0.163       0.363       36.95         48.95         62.65         0.018        0.06         0.203        9.582           10.05           10.45           8.567            8.882            9.137           
  16336   0.363       0.363       0.363       -11.27     -11.27     -11.27     10.7        10.7        10.7        9.902       9.902       9.902       6.002       6.182       6.832       -0.558    -0.558    -0.558    9.147       9.147       9.147       0.088     0.088     0.088     28.75       34.95       40.65       0.363         0.363         0.363         -11.27       -11.27       -11.27       10.69         10.7          10.7          9.942         10.04         10.19         6.002         6.182         6.852         -0.568      -0.563      -0.558      9.147         9.147         9.147         0.088       0.088       0.088       28.45         34.55         40.25         0.09         0.28         0.489        9.897           9.902           9.902           8.907            9.492            9.882           
  16360   2.063       2.063       2.063       -10.82     -10.82     -10.82     10.21       10.21       10.21       9.952       9.952       9.952       6.002       6.237       6.902       -0.633    -0.628    -0.628    9.012       9.012       9.012       0.263     0.263     0.263     28.45       34.65       40.45       1.713         2.063         2.063         -11.02       -10.82       -10.82       10.21         10.21         10.39         9.957         9.977         10.03         6.002         6.217         6.877         -0.638      -0.633      -0.633      9.012         9.012         9.252         0.263       0.263       0.263       28.45         34.45         40.05         0.017        0.067        0.158        9.942           9.952           9.952           8.182            8.802            9.222           
  16435   4.063       6.588       7.838       -9.475     -9.425     -9.425     10.81       10.83       10.85       11.48       11.49       11.5        7.162       7.632       8.202       1.362     1.372     1.387     9.202       9.252       9.307       1.563     1.563     1.563     33.55       41.05       50.45       2.538         4.588         7.838         -10.17       -9.725       -9.425       10.73         10.81         10.88         11.04         11.31         11.5          6.947         7.477         8.092         0.647       1.082       1.357       9.122         9.282         9.392         0.913       1.363       1.663       31.85         38.55         46.45         0.023        0.078        0.206        10.94           11.28           11.49           9.817            10.18            10.41           
  16440   4.238       7.063       12.288      -9.025     -8.875     -8.775     10.81       10.85       10.93       11.95       12.05       12.12       7.732       8.207       8.747       1.867     1.982     2.052     8.687       8.772       8.992       1.938     2.138     2.238     34.05       42.25       52.65       3.288         6.488         10.963        -9.375       -9.175       -8.975       10.84         10.91         10.98         11.74         11.88         12.04         7.567         8.067         8.642         1.592       1.752       1.932       8.802         9.002         9.162         1.613       1.863       2.138       33.45         40.85         50.05         0.008        0.024        0.061        11.72           11.87           12.03           9.817            10.27            10.56           
  16455   1.988       3.088       4.438       -8.275     -8.225     -8.175     10.16       10.26       10.29       11.94       12.05       12.12       7.607       8.112       8.622       1.952     2.007     2.072     8.057       8.097       8.362       1.113     1.238     1.438     35.45       45.75       58.25       0.688         1.113         3.088         -9.225       -8.975       -8.675       10.3          10.38         10.47         11.12         11.38         11.66         6.842         7.407         7.987         1.207       1.427       1.692       8.562         8.852         9.077         0.263       0.488       0.813       35.45         45.65         58.05         0.02         0.057        0.14         11.05           11.35           11.65           9.827            10.1             10.39           
  16514   2.413       2.413       2.413       -9.975     -9.925     -9.925     10.64       10.64       10.65       11.15       11.15       11.15       6.917       7.382       8.022       0.697     0.697     0.697     8.817       8.817       8.862       0.938     0.938     0.938     29.85       35.95       42.15       0.863         1.963         5.663         -10.57       -10.22       -9.975       10.55         10.64         10.82         10.51         10.94         11.16         6.537         7.122         7.772         0.182       0.432       0.687       8.817         8.987         9.412         0.238       0.688       0.938       29.95         36.15         42.35         0.013        0.049        0.185        10.43           10.92           11.14           9.057            9.592            10.02           
  16697   3.613       7.638       10.413      -8.225     -8.125     -8.125     9.657       9.697       9.702       11.45       11.53       11.63       7.097       7.597       8.092       1.442     1.597     1.602     7.987       7.987       8.132       1.388     1.513     1.613     35.65       45.35       57.25       0.913         1.788         4.363         -9.575       -8.925       -8.525       9.712         9.797         9.892         10.54         10.9          11.24         6.322         6.947         7.557         0.262       0.902       1.212       8.437         8.727         8.997         0.363       0.713       1.138       33.75         42.65         55.35         0.023        0.087        0.218        10.43           10.86           11.23           9.502            9.737            10.0            
  16714   2.163       3.088       5.813       -8.975     -8.875     -8.775     9.637       9.677       9.717       10.78       10.87       10.98       6.547       7.032       7.567       0.722     0.822     0.907     8.622       8.757       8.852       1.013     1.163     1.313     34.25       42.95       53.85       0.963         1.713         3.863         -9.925       -9.325       -9.075       9.657         9.727         9.807         10.06         10.49         10.73         6.002         6.587         7.187         -0.153      0.432       0.667       8.872         9.042         9.252         0.363       0.663       0.988       33.45         41.35         52.15         0.012        0.043        0.137        10.01           10.47           10.72           8.702            9.082            9.332           
  16854   2.438       4.438       5.888       -8.525     -8.225     -8.225     9.562       9.597       9.622       11.1        11.32       11.44       6.922       7.422       7.947       1.117     1.297     1.382     8.097       8.132       8.402       0.988     1.238     1.438     35.15       45.15       57.65       0.663         1.263         2.888         -9.525       -9.175       -8.775       9.667         9.762         9.847         10.27         10.6          10.88         6.057         6.647         7.237         0.312       0.612       0.892       8.677         8.972         9.212         0.238       0.463       0.763       34.45         43.75         56.15         0.024        0.061        0.157        10.21           10.57           10.86           9.172            9.352            9.557           
  16871   0.888       1.138       1.138       -8.475     -8.225     -8.225     8.717       8.717       8.812       10.31       10.53       10.53       6.002       6.497       7.007       0.337     0.507     0.507     8.087       8.087       8.397       0.513     0.713     0.713     35.95       46.55       58.85       0.213         0.788         1.138         -10.17       -8.475       -8.275       8.717         8.777         8.807         8.822         10.25         10.45         6.002         6.002         6.742         -1.383      0.282       0.452       8.182         8.397         8.592         0.038       0.463       0.638       33.05         41.35         54.95         0.004        0.021        0.208        8.752           10.24           10.45           8.002            8.232            8.712           
  16921   1.213       3.463       3.913       -10.17     -10.17     -10.12     9.672       9.697       9.757       9.802       9.842       9.842       6.002       6.072       6.697       -0.463    -0.458    -0.458    8.952       8.952       9.002       0.438     0.488     0.488     31.05       37.25       44.25       0.763         1.213         3.088         -10.82       -10.47       -10.17       9.647         9.757         9.907         9.442         9.692         10.02         6.002         6.002         6.517         -0.988      -0.748      -0.463      8.952         9.137         9.352         0.138       0.363       0.688       30.45         36.75         43.65         0.035        0.134        0.344        9.347           9.642           9.992           8.242            8.847            9.172           
  17026   0.738       1.063       1.488       -8.975     -8.675     -8.575     8.982       9.042       9.097       10.17       10.37       10.46       6.042       6.517       7.237       0.147     0.347     0.412     8.487       8.592       8.787       0.513     0.738     0.813     36.65       44.35       53.35       0.488         0.738         1.388         -9.175       -9.025       -8.875       9.012         9.062         9.122         9.747         9.957         10.13         6.002         6.012         6.567         -0.093      0.047       0.142       8.727         8.837         9.047         0.188       0.313       0.438       35.55         46.05         58.85         0.003        0.009        0.029        9.737           9.952           10.12           8.002            8.002            8.297           
  17062   5.888       5.888       5.888       -9.875     -9.875     -9.875     9.832       9.832       9.832       10.57       10.57       10.57       6.317       6.752       7.327       -0.018    -0.018    -0.018    8.792       8.792       8.792       2.013     2.013     2.013     31.15       36.65       42.15       0.988         2.263         3.688         -10.92       -10.62       -10.22       9.562         9.677         9.767         9.737         9.832         10.07         6.002         6.002         6.537         -1.298      -1.008      -0.598      8.892         9.237         9.457         0.188       0.363       0.938       29.25         35.35         41.35         0.257        0.549        0.706        9.212           9.472           9.942           9.447            9.562            9.652           
  17064   1.888       1.888       1.888       -10.72     -10.72     -10.72     10.2        10.2        10.2        10.32       10.32       10.32       6.002       6.207       6.692       -0.508    -0.508    -0.503    9.537       9.537       9.537       0.388     0.388     0.388     37.05       48.75       62.75       1.888         1.888         1.888         -10.72       -10.72       -10.72       10.18         10.19         10.19         10.34         10.36         10.37         6.002         6.202         6.697         -0.523      -0.513      -0.508      9.537         9.537         9.537         0.388       0.388       0.388       37.05         50.75         64.05         0.056        0.098        0.14         10.31           10.31           10.32           9.092            9.347            9.517           
  17098   0.488       0.488       0.513       -8.975     -8.975     -8.925     9.207       9.242       9.242       10.08       10.17       10.17       6.002       6.112       6.627       0.267     0.277     0.282     8.862       8.897       8.897       0.138     0.263     0.263     37.15       49.15       61.45       0.063         0.288         0.488         -9.275       -9.175       -8.975       9.217         9.272         9.327         9.357         9.832         10.08         6.002         6.002         6.287         -0.003      0.097       0.262       8.887         8.987         9.132         0.063       0.063       0.138       36.75         48.65         62.45         0.004        0.016        0.054        9.317           9.827           10.08           8.002            8.002            8.387           
  17185   3.638       3.638       3.638       -8.175     -8.175     -8.175     9.082       9.082       9.082       10.99       10.99       10.99       6.462       6.982       7.492       0.907     0.907     0.912     8.047       8.047       8.047       1.388     1.388     1.388     35.45       44.95       56.15       0.613         1.388         2.388         -9.075       -8.875       -8.625       9.097         9.152         9.192         10.13         10.31         10.54         6.002         6.262         6.832         0.107       0.257       0.487       8.532         8.762         8.862         0.238       0.438       0.738       35.75         45.95         57.95         0.08         0.178        0.311        9.972           10.23           10.5            9.327            9.577            9.692           
  17211   6.888       7.188       7.188       -9.275     -8.875     -8.875     10.71       10.71       10.84       11.66       11.89       11.89       7.417       7.907       8.452       1.552     1.817     1.817     8.862       8.862       9.237       1.963     2.363     2.363     34.45       42.55       52.95       4.013         6.563         11.363        -9.625       -9.375       -9.075       10.74         10.83         10.93         11.46         11.67         11.92         7.347         7.872         8.467         1.182       1.437       1.782       8.792         9.097         9.312         1.588       2.088       2.838       32.15         39.45         48.25         0.014        0.051        0.139        11.4            11.65           11.92           10.06            10.3             10.63           
  17214   3.963       4.188       6.563       -9.225     -9.125     -9.025     10.12       10.16       10.22       11.01       11.14       11.18       6.782       7.262       7.802       0.952     1.047     1.097     8.942       9.057       9.147       1.188     1.363     1.413     34.05       42.15       52.25       1.788         3.163         6.563         -9.775       -9.375       -9.175       10.09         10.17         10.23         10.6          10.9          11.1          6.477         7.012         7.612         0.417       0.782       0.997       8.967         9.147         9.282         0.663       1.013       1.338       33.45         41.15         50.75         0.011        0.042        0.124        10.54           10.88           11.09           8.992            9.502            9.807           
  17225   0.313       0.313       0.663       -9.175     -9.025     -8.675     9.077       9.182       9.187       9.812       9.942       10.33       6.002       6.002       6.507       -0.078    0.187     0.402     8.337       8.802       8.802       0.113     0.113     0.313     36.65       47.85       61.15       0.113         0.313         0.638         -9.125       -9.025       -8.675       9.077         9.132         9.192         9.532         9.947         10.27         6.002         6.002         6.457         0.062       0.187       0.382       8.422         8.802         8.847         0.038       0.113       0.288       36.85         48.55         62.15         0.004        0.02         0.076        9.487           9.937           10.27           8.002            8.232            8.687           
  17233   1.538       3.238       3.238       -8.325     -8.025     -8.025     9.262       9.262       9.262       10.77       11.03       11.03       6.697       7.092       7.797       1.047     1.262     1.262     8.127       8.127       8.267       0.438     0.988     0.988     34.95       39.35       50.45       0.313         0.713         1.538         -8.975       -8.625       -8.325       9.317         9.357         9.492         10.28         10.45         10.65         6.002         6.487         7.082         0.522       0.742       1.037       8.442         8.517         8.822         0.138       0.263       0.438       33.45         43.05         60.15         0.005        0.017        0.046        10.27           10.44           10.64           8.207            8.682            8.997           
  17245   7.613       7.613       7.613       -9.225     -9.225     -9.225     10.44       10.45       10.45       11.67       11.67       11.67       7.162       7.667       8.157       1.237     1.237     1.237     9.312       9.312       9.312       2.063     2.063     2.063     36.35       47.35       60.45       3.213         5.813         9.988         -10.02       -9.525       -9.225       10.37         10.46         10.54         10.8          11.15         11.42         6.772         7.342         7.957         0.392       0.907       1.247       8.947         9.147         9.347         1.113       1.888       2.363       31.85         38.55         46.65         0.004        0.01         0.178        10.73           11.14           11.42           8.977            9.107            10.07           
  17254   3.638       3.888       7.413       -8.625     -8.575     -8.275     9.287       9.307       9.312       10.66       10.73       11.08       6.302       6.827       7.347       0.692     0.727     1.012     8.402       8.472       8.557       0.838     0.938     1.463     35.75       45.95       58.15       0.438         1.238         2.488         -9.875       -9.425       -9.125       9.437         9.512         9.602         9.757         10.15         10.39         6.002         6.152         6.762         -0.278      0.132       0.362       8.942         9.122         9.332         0.163       0.413       0.688       34.25         43.45         55.55         0.044        0.098        0.271        9.612           10.1            10.37           8.962            9.092            9.267           
  17265   2.763       4.463       5.813       -8.375     -8.275     -8.075     9.732       9.807       9.807       11.43       11.6        11.83       7.167       7.687       8.202       1.432     1.552     1.732     7.907       8.142       8.287       1.013     1.213     1.563     35.45       45.15       57.35       0.613         1.138         2.413         -9.175       -8.875       -8.575       9.792         9.872         9.947         10.69         10.94         11.21         6.362         6.947         7.517         0.757       0.977       1.232       8.517         8.777         9.007         0.213       0.438       0.738       35.75         46.15         58.55         0.027        0.067        0.151        10.63           10.9            11.2            9.502            9.717            9.992           
  17376   3.113       3.238       6.638       -8.525     -8.375     -8.225     10.04       10.08       10.1        11.61       11.79       11.86       7.327       7.832       8.352       1.597     1.742     1.827     8.107       8.262       8.437       1.013     1.263     1.388     35.25       44.75       56.65       0.713         1.313         3.088         -9.225       -8.925       -8.675       10.08         10.15         10.22         10.91         11.17         11.43         6.622         7.197         7.772         0.987       1.212       1.457       8.597         8.822         9.037         0.263       0.488       0.788       35.05         44.85         57.35         0.024        0.067        0.155        10.84           11.13           11.42           9.677            9.967            10.2            
  17418   0.738       0.738       0.738       -11.57     -11.57     -11.57     11.49       11.49       11.49       10.43       10.43       10.43       6.247       6.712       7.362       -0.093    -0.093    -0.093    9.547       9.547       9.547       0.088     0.088     0.088     28.75       34.95       40.65       0.738         0.738         0.738         -11.57       -11.57       -11.57       11.49         11.49         11.49         10.47         10.57         10.73         6.252         6.717         7.367         -0.098      -0.093      -0.093      9.547         9.547         9.547         0.088       0.088       0.088       28.55         34.55         40.15         0.079        0.274        0.495        10.43           10.43           10.43           9.382            10.01            10.42           
  17422   3.263       4.863       4.863       -7.975     -7.975     -7.975     9.182       9.207       9.212       11.32       11.33       11.33       6.842       7.352       7.852       1.212     1.227     1.227     7.757       7.757       7.757       1.113     1.113     1.113     35.35       45.45       57.35       0.313         0.538         0.913         -8.675       -8.475       -8.225       9.087         9.167         9.272         10.17         10.54         10.79         6.002         6.462         7.027         0.547       0.707       0.887       8.162         8.472         8.807         0.138       0.213       0.413       35.05         45.65         60.65         0.049        0.094        0.294        9.932           10.49           10.76           9.347            9.477            9.757           
  17433   3.238       3.238       4.213       -10.87     -10.87     -10.82     10.74       10.83       10.83       10.71       10.75       10.75       6.567       7.032       7.687       -0.093    -0.028    -0.028    9.087       9.137       9.137       0.513     0.538     0.538     28.25       34.35       39.95       1.913         3.238         4.213         -10.92       -10.87       -10.82       10.74         10.79         10.83         10.67         10.75         10.8          6.477         6.957         7.627         -0.113      -0.098      -0.033      9.087         9.122         9.232         0.438       0.513       0.538       27.85         33.95         39.65         0.027        0.113        0.232        10.64           10.71           10.74           9.147            9.772            10.12           
  17474   0.863       1.238       2.088       -8.775     -8.575     -8.425     9.337       9.412       9.512       10.77       10.82       10.95       6.532       7.022       7.562       0.747     0.822     0.957     8.332       8.487       8.642       0.738     0.788     0.913     34.65       43.75       55.95       0.588         1.038         1.813         -9.075       -8.875       -8.625       9.372         9.447         9.492         10.29         10.49         10.75         6.002         6.562         7.122         0.407       0.552       0.787       8.542         8.762         8.877         0.238       0.413       0.688       35.45         45.75         58.25         0.004        0.015        0.045        10.27           10.48           10.75           8.187            8.687            9.012           
  17652   1.388       2.888       2.888       -8.025     -8.025     -7.925     9.282       9.417       9.417       11.37       11.38       11.39       6.842       7.367       7.872       1.362     1.377     1.382     7.757       7.862       7.862       0.713     0.838     0.838     36.65       47.85       61.25       0.238         0.463         0.563         -8.725       -8.425       -8.025       9.347         9.442         9.567         10.34         10.67         10.99         6.027         6.597         7.182         0.857       1.022       1.367       7.932         8.412         8.662         0.113       0.188       0.313       33.65         43.95         60.85         0.035        0.091        0.237        10.25           10.63           10.97           9.362            9.612            9.837           
  17843   0.713       1.713       1.913       -8.675     -8.425     -8.225     9.452       9.532       9.577       10.82       11.0        11.09       6.527       7.037       7.562       0.917     1.107     1.242     8.042       8.367       8.572       0.363     0.613     0.638     35.75       46.45       59.15       0.413         0.713         1.413         -9.025       -8.825       -8.575       9.512         9.617         9.687         10.48         10.68         10.91         6.087         6.662         7.227         0.652       0.802       0.987       8.442         8.752         8.897         0.138       0.263       0.463       36.05         47.35         60.85         0.005        0.019        0.054        10.45           10.67           10.91           8.492            8.962            9.287           
  18048   1.888       1.888       1.888       -10.72     -10.72     -10.72     10.73       10.73       10.73       10.86       10.86       10.86       6.217       6.757       7.257       0.032     0.032     0.032     9.537       9.537       9.537       0.388     0.388     0.388     37.35       49.95       63.95       1.888         1.888         1.888         -10.72       -10.72       -10.72       10.72         10.73         10.73         10.85         10.85         10.87         6.037         6.677         7.217         0.012       0.022       0.032       9.537         9.537         9.537         0.388       0.388       0.388       36.55         49.95         63.95         0.004        0.008        0.06         10.84           10.85           10.86           8.407            8.742            9.477           
  18130   1.888       1.888       1.888       -10.72     -10.72     -10.72     10.6        10.6        10.6        10.73       10.73       10.73       6.092       6.632       7.132       -0.103    -0.098    -0.098    9.537       9.537       9.537       0.388     0.388     0.388     37.45       50.15       64.15       1.888         1.888         1.888         -10.72       -10.72       -10.72       10.59         10.6          10.6          10.73         10.73         10.75         6.012         6.567         7.022         -0.108      -0.103      -0.103      9.537         9.537         9.537         0.388       0.388       0.388       37.65         50.85         65.45         0.008        0.024        0.06         10.72           10.72           10.73           8.627            9.112            9.517           
  18132   3.713       7.838       10.738      -8.525     -8.475     -8.175     10.08       10.09       10.12       11.64       11.65       11.92       7.297       7.792       8.322       1.607     1.622     1.897     8.212       8.347       8.432       1.538     1.588     2.038     35.35       44.15       55.15       1.363         2.588         5.463         -9.425       -9.125       -8.825       10.13         10.21         10.29         10.98         11.19         11.45         6.737         7.277         7.862         0.837       1.097       1.377       8.697         8.937         9.162         0.588       0.913       1.338       34.25         42.95         53.45         0.046        0.113        0.221        10.88           11.14           11.42           10.05            10.23            10.36           
  18146   0.888       1.588       1.588       -8.625     -8.125     -8.125     8.882       8.882       8.917       10.29       10.33       10.33       6.187       6.647       7.322       0.337     0.782     0.782     7.942       7.942       8.562       0.563     0.838     0.838     27.55       35.75       46.35       0.388         0.538         0.913         -9.125       -8.975       -8.625       8.912         9.047         9.112         9.782         9.912         10.13         6.002         6.002         6.487         0.007       0.092       0.277       8.562         8.887         9.062         0.138       0.238       0.413       35.95         48.05         62.15         0.002        0.006        0.017        9.777           9.907           10.13           8.002            8.002            8.132           
  18160   2.713       5.413       7.763       -9.425     -9.375     -9.275     11.06       11.13       11.18       11.75       11.92       11.98       7.617       8.092       8.677       1.622     1.772     1.827     9.087       9.217       9.277       1.488     1.763     1.888     32.95       40.15       48.95       2.713         4.813         8.338         -9.875       -9.575       -9.325       11.01         11.09         11.17         11.49         11.74         11.92         7.407         7.912         8.527         1.242       1.542       1.767       9.072         9.197         9.347         1.113       1.488       1.788       32.35         39.15         47.25         0.006        0.027        0.086        11.46           11.72           11.91           9.607            10.17            10.5            
  18326   3.338       5.713       6.788       -8.875     -8.875     -8.725     10.4        10.43       10.46       11.54       11.6        11.67       7.202       7.697       8.222       1.527     1.582     1.652     8.672       8.742       8.757       1.038     1.088     1.188     35.05       43.95       54.95       1.113         1.738         4.063         -9.575       -9.275       -9.025       10.41         10.49         10.56         11.06         11.28         11.49         6.797         7.347         7.917         1.002       1.227       1.442       8.817         9.032         9.197         0.438       0.663       0.963       34.15         43.05         54.35         0.025        0.08         0.172        11.0            11.24           11.47           9.782            10.14            10.38           
  18375   1.238       1.238       1.238       -7.975     -7.975     -7.975     8.632       8.637       8.637       11.02       11.02       11.02       6.482       6.992       7.492       0.652     0.657     0.657     8.757       8.757       8.757       0.863     0.863     0.863     36.35       46.65       60.15       0.363         0.463         0.763         -8.525       -8.425       -8.125       8.712         8.792         8.952         10.22         10.37         10.58         6.002         6.302         6.847         0.362       0.432       0.602       7.957         8.292         8.487         0.138       0.288       0.388       36.65         47.55         60.95         0.049        0.101        0.196        10.14           10.29           10.54           9.212            9.387            9.607           
  18380   8.513       8.513       8.513       -8.025     -8.025     -8.025     9.517       9.517       9.522       11.63       11.63       11.63       7.127       7.622       8.082       1.502     1.502     1.502     7.827       7.827       7.827       1.888     1.888     1.888     35.65       44.35       54.25       1.038         1.813         3.788         -9.175       -8.875       -8.575       9.522         9.577         9.637         10.65         10.87         11.08         6.242         6.807         7.392         0.462       0.697       0.972       8.482         8.767         8.967         0.388       0.663       0.988       34.75         43.95         55.15         0.138        0.276        0.456        10.43           10.73           11.01           10.05            10.33            10.43           
  18405   5.913       5.913       5.913       -8.225     -8.225     -8.225     9.012       9.012       9.012       10.8        10.8        10.8        6.397       6.892       7.377       0.812     0.812     0.817     8.087       8.087       8.087       1.038     1.038     1.038     35.85       45.35       57.65       0.438         0.813         1.813         -9.125       -8.875       -8.625       9.027         9.087         9.167         9.882         10.13         10.41         6.002         6.117         6.697         0.012       0.192       0.442       8.532         8.767         8.977         0.138       0.288       0.563       35.55         46.35         59.45         0.032        0.07         0.147        9.827           10.09           10.39           8.797            8.937            9.167           
