# ID_0    tau_v16_0   tau_v50_0   tau_v84_0   sSFR16_0   sSFR50_0   sSFR84_0   Mstar16_0   Mstar50_0   Mstar84_0   Ldust16_0   Ldust50_0   Ldust84_0   Mdust16_0   Mdust50_0   Mdust84_0   SFR16_0   SFR50_0   SFR84_0   age_M16_0   age_M50_0   age_M84_0   A_V16_0   A_V50_0   A_V84_0   Tdust16_0   Tdust50_0   Tdust84_0   tau_v16_agn   tau_v50_agn   tau_v84_agn   sSFR16_agn   sSFR50_agn   sSFR84_agn   Mstar16_agn   Mstar50_agn   Mstar84_agn   Ldust16_agn   Ldust50_agn   Ldust84_agn   Mdust16_agn   Mdust50_agn   Mdust84_agn   SFR16_agn   SFR50_agn   SFR84_agn   age_M16_agn   age_M50_agn   age_M84_agn   A_V16_agn   A_V50_agn   A_V84_agn   Tdust16_agn   Tdust50_agn   Tdust84_agn   agnf16_agn   agnf50_agn   agnf84_agn   Ldustsf16_agn   Ldustsf50_agn   Ldustsf84_agn   Ldustagn16_agn   Ldustagn50_agn   Ldustagn84_agn  
  570     0.713       0.713       1.388       -7.975     -7.975     -7.925     8.737       8.742       8.747       10.72       10.72       10.83       6.242       6.757       7.257       0.752     0.752     0.817     7.757       7.782       7.782       0.638     0.638     0.713     36.15       46.45       59.05       0.138         0.463         0.613         -8.775       -8.475       -8.125       8.782         8.897         8.997         9.682         10.06         10.36         6.002         6.002         6.572         0.237       0.412       0.652       8.047         8.487         8.812         0.088       0.163       0.313       33.65         43.25         60.35         0.044        0.093        0.255        9.547           10.03           10.34           8.902            9.007            9.097           
  601     0.388       0.413       0.638       -8.925     -8.875     -8.625     9.132       9.232       9.267       10.14       10.15       10.33       6.002       6.057       6.577       0.327     0.352     0.482     8.577       8.787       8.862       0.138     0.163     0.263     37.05       49.15       62.95       0.188         0.313         0.613         -9.075       -8.975       -8.775       9.177         9.257         9.282         9.847         10.06         10.28         6.002         6.002         6.517         0.217       0.292       0.412       8.632         8.807         8.887         0.063       0.163       0.238       36.95         49.05         62.75         0.006        0.024        0.075        9.827           10.05           10.28           8.002            8.417            8.812           
  744     3.138       3.813       7.738       -8.625     -8.525     -8.325     9.917       9.932       9.987       11.43       11.45       11.62       7.077       7.577       8.092       1.407     1.427     1.587     8.237       8.442       8.557       1.113     1.138     1.388     35.15       44.65       56.25       0.763         1.513         3.388         -9.525       -9.175       -8.825       9.957         10.04         10.12         10.62         10.94         11.18         6.377         6.972         7.562         0.587       0.917       1.157       8.697         8.947         9.137         0.263       0.513       0.838       34.25         43.35         55.45         0.024        0.072        0.182        10.56           10.9            11.16           9.467            9.737            9.972           
  797     3.238       6.613       14.388      -9.325     -9.225     -9.175     10.53       10.58       10.6        11.36       11.45       11.52       7.122       7.592       8.152       1.267     1.342     1.432     9.122       9.222       9.272       1.638     1.763     1.913     33.75       41.45       51.35       2.863         5.113         9.238         -9.725       -9.425       -9.225       10.47         10.54         10.62         11.03         11.26         11.46         6.932         7.442         8.042         0.772       1.107       1.332       9.042         9.172         9.322         1.213       1.538       1.838       32.65         39.65         48.45         0.011        0.038        0.107        10.98           11.25           11.46           9.427            9.852            10.12           
  931     0.913       0.913       1.663       -9.475     -9.475     -9.275     9.562       9.577       9.582       10.06       10.06       10.28       6.002       6.257       6.802       0.117     0.122     0.292     9.032       9.032       9.077       0.288     0.288     0.488     34.65       43.75       56.15       0.413         0.913         1.563         -9.875       -9.575       -9.425       9.552         9.607         9.697         9.557         9.987         10.25         6.002         6.057         6.657         -0.193      0.087       0.227       9.037         9.137         9.362         0.113       0.288       0.463       33.85         42.65         54.95         0.005        0.02         0.075        9.512           9.977           10.24           8.002            8.257            8.672           
  952     2.413       5.513       6.113       -8.075     -7.975     -7.925     8.902       8.937       8.972       10.95       11.17       11.17       6.532       7.017       7.517       0.912     0.967     0.972     7.547       7.777       7.892       1.238     1.438     1.438     35.75       45.65       58.05       0.388         0.863         2.013         -9.125       -8.825       -8.475       8.977         9.077         9.182         10.04         10.25         10.53         6.002         6.162         6.757         0.077       0.272       0.532       8.387         8.757         9.007         0.138       0.363       0.638       36.05         47.15         59.95         0.082        0.179        0.317        9.892           10.16           10.48           9.212            9.527            9.627           
  994     6.213       6.213       7.688       -8.025     -7.925     -7.925     9.787       9.852       9.852       11.84       12.17       12.18       7.662       8.172       8.697       1.762     1.932     1.937     7.547       7.547       7.832       1.888     2.413     2.413     34.75       45.15       57.25       1.113         2.138         4.813         -9.175       -8.875       -8.575       9.837         9.907         9.962         10.89         11.08         11.36         6.602         7.157         7.742         0.762       1.027       1.292       8.517         8.767         8.997         0.488       0.813       1.213       34.15         43.25         54.45         0.076        0.16         0.284        10.74           11.01           11.33           10.21            10.3             10.36           
  1025    3.088       5.813       5.863       -8.875     -8.875     -8.775     9.617       9.647       9.687       10.82       10.86       11.07       6.447       6.942       7.487       0.797     0.817     0.862     8.497       8.742       8.772       1.088     1.163     1.388     35.05       43.85       54.55       0.938         1.538         3.088         -9.675       -9.375       -9.125       9.637         9.702         9.787         10.19         10.43         10.63         6.002         6.447         7.032         0.082       0.357       0.552       8.902         9.067         9.262         0.338       0.538       0.813       34.25         43.35         54.45         0.053        0.127        0.248        10.07           10.37           10.59           9.157            9.487            9.732           
  1256    3.063       3.063       3.063       -9.675     -9.675     -9.675     11.23       11.24       11.24       11.89       11.89       11.9        7.702       8.182       8.822       1.557     1.557     1.557     8.897       8.897       8.897       1.688     1.688     1.688     29.85       36.25       42.65       2.263         3.163         5.888         -10.47       -10.17       -9.725       11.06         11.22         11.29         11.34         11.51         11.9          7.262         7.862         8.507         0.687       0.907       1.532       8.792         8.952         9.337         0.763       1.038       1.688       29.05         35.15         41.15         0.009        0.053        0.185        11.28           11.44           11.89           9.752            10.29            10.65           
  1603    0.963       3.438       3.438       -8.125     -7.975     -7.975     9.032       9.102       9.132       10.92       11.07       11.07       6.567       7.062       7.567       0.967     1.107     1.112     7.892       7.892       8.037       0.863     0.988     0.988     36.05       46.35       59.15       0.288         0.613         1.088         -8.975       -8.625       -8.175       9.027         9.157         9.282         10.09         10.44         10.77         6.002         6.342         6.937         0.342       0.572       0.837       8.082         8.557         8.822         0.113       0.263       0.563       36.75         48.65         62.35         0.02         0.056        0.139        10.03           10.41           10.76           8.937            9.137            9.372           
