#	ID	BPASS_log10M*_16	BPASS_log10M*_50	BPASS_log10M*_84	BPASS_SFR10_16	BPASS_SFR10_50	BPASS_SFR10_84	BPASS_SFR100_16	BPASS_SFR100_50	BPASS_SFR100_84	BPASS_A_V_16	BPASS_A_V_50	BPASS_A_V_84	PEGASE_log10M*_16	PEGASE_log10M*_50	PEGASE_log10M*_84	PEGASE_SFR10_16	PEGASE_SFR10_50	PEGASE_SFR10_84	PEGASE_SFR100_16	PEGASE_SFR100_50	PEGASE_SFR100_84	PEGASE_A_V_16	PEGASE_A_V_50	PEGASE_A_V_84
19422	10.66377	11.61319	11.63672	-2.24061	-1.59876	1.38604	-2.02994	-1.411	1.39602	1.46233	3.03398	3.09996	10.46256	10.51139	10.57221	0.72344	1.27251	1.34668	0.89482	1.27838	1.35165	1.61591	1.72015	2.10926
7886	11.14582	11.61652	11.74623	-5.87246	-2.94138	-1.91476	-5.7481	-2.78547	-1.8006	0.61684	2.49254	2.85953	10.67183	10.68537	10.70383	-2.65078	-0.15619	-0.04707	-2.55524	-0.12185	-0.01757	0.15132	0.20459	0.2572
14099	9.69894	9.70832	9.86377	1.75385	1.76453	1.90917	1.57796	1.5879	1.73296	1.26459	1.29017	1.61018	9.78735	9.79649	9.82017	1.52809	1.82621	1.87813	1.46053	1.67685	1.70906	1.21949	1.64607	1.72029
3647	11.27427	11.29296	11.29842	-18.58619	-15.20165	-10.17136	-18.38403	-15.03342	-10.05298	-0.08017	0.00376	0.35206	-99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99 -99.99
21708	11.0697	11.15426	11.50427	-9.13217	-5.09345	-3.33253	-8.97771	-4.92307	-3.21464	1.21204	1.52295	2.92781	10.63787	10.64493	10.65273	-9.39596	-5.30577	-2.51647	-9.22122	-5.2033	-2.43079	0.19797	0.23696	0.29531
2697	10.02485	10.04628	10.84707	0.59627	1.58077	1.60766	0.62939	1.52916	1.55126	1.15306	1.19637	1.24885	10.00628	10.01826	10.19968	0.85245	2.02948	2.08593	0.89579	1.88662	1.91915	1.05833	2.17058	2.2418
40	10.19679	10.3875	10.93615	1.38794	1.77328	2.48825	1.38805	1.71795	2.4389	0.79008	1.0433	2.60297	10.15773	10.21541	10.27438	1.58512	1.84888	2.33194	1.59153	1.78706	2.16525	1.28298	1.47574	2.28789
22456	11.17151	11.73267	11.75086	-2.73808	-2.29275	-1.2652	-2.57109	-2.10617	-1.1592	1.6846	3.42293	3.48116	10.65991	10.68627	10.70719	0.81694	0.87062	0.91707	0.82533	0.87787	0.92485	0.9813	1.04008	1.18714
23927	10.37674	11.35319	11.38327	-2.30525	-1.80258	1.64686	-2.1005	-1.61015	1.62199	2.01455	2.55333	2.62553	10.24371	10.27105	10.30626	-0.09855	0.03199	0.15443	-0.05263	0.07282	0.19585	0.26001	0.39028	0.65693
267	11.19907	11.27394	11.31195	-2.82069	-2.21319	-1.37777	-2.61624	-2.01763	-1.22575	2.33746	3.07296	3.17542	10.04438	10.06668	10.09525	-4.88862	-1.2849	-0.74445	-4.73377	-1.22121	-0.69471	0.0398	0.15556	0.28511
26398	10.32192	11.187	11.68391	-5.63018	-1.35633	1.46595	-5.50063	-1.15755	1.45016	1.06864	1.75185	3.45092	10.15209	10.29099	10.48049	0.57725	1.60639	1.96967	0.69383	1.66105	1.92149	1.22236	1.92201	2.58177
17225	8.93422	9.06815	9.2343	0.51234	0.76154	0.9768	0.49254	0.67107	0.84744	0.15123	0.43471	0.81431	9.13027	9.19151	9.2632	0.38939	0.61233	0.84955	0.37674	0.58389	0.78402	0.21914	0.55675	0.87678
16236	9.64992	9.7076	9.75828	1.65776	1.73629	1.78952	1.50169	1.56905	1.61941	1.51562	1.64283	1.73232	9.40978	9.52028	9.55485	1.45367	1.5852	1.64186	1.30002	1.42527	1.47042	1.29028	1.46225	1.54454
